Metabolite,Treatment,Replicate,Value
D-glucose,A,1,0.00031495278464908856
D-glucose,A,2,0.0003452788337992615
D-glucose,A,3,0.00032569646441733867
D-glucose,B,1,0.00022888582626747497
D-glucose,B,2,0.00020797477935687153
D-glucose,B,3,0.0002119293787753569
D-glucose,C,1,0.0002006736717899396
D-glucose,C,2,0.0002315074962964762
D-glucose,C,3,0.0004283060985627246
D-glucose,D,1,0.0001687290535179264
D-glucose,D,2,0.00015332794392837175
D-glucose,D,3,0.00021711650132766674
D-glucose,E,1,0.00032908505898621854
D-glucose,E,2,0.00016093364381225854
D-glucose,E,3,0.00021972301784764804
D-glucose,F,1,0.00017286676734661809
D-glucose,F,2,0.00013035733843872518
D-glucose,F,3,0.0002432928794088055
D-glucose,G,1,0.0002972125586856094
D-glucose,G,2,0.00030434715568108733
D-glucose,G,3,0.0002477030575444113
D-glucose,H,1,0.00026074779014879554
D-glucose,H,2,0.00020337127322877152
D-glucose,H,3,0.000224557494808528
D-glucose,I,1,0.00025623268521811864
D-glucose,I,2,0.0002494168183663663
D-glucose,I,3,0.0004720260242363327
Sucrose,A,1,0.00355068694022913
Sucrose,A,2,0.00433550177948974
Sucrose,A,3,0.003996702541423814
Sucrose,B,1,0.003320957628516719
Sucrose,B,2,0.003265945285876177
Sucrose,B,3,0.0043408063779014645
Sucrose,C,1,0.0019539492854329394
Sucrose,C,2,0.00202882861213042
Sucrose,C,3,0.0021188529681127207
Sucrose,D,1,0.004569156354694528
Sucrose,D,2,0.0040363032920494035
Sucrose,D,3,0.003746610518927734
Sucrose,E,1,0.0033308581160341874
Sucrose,E,2,0.0027145620467723948
Sucrose,E,3,0.004862269453070496
Sucrose,F,1,0.005078367894713236
Sucrose,F,2,0.0038504924378843695
Sucrose,F,3,0.004566966076647604
Sucrose,G,1,0.0032544937244067323
Sucrose,G,2,0.003295217172326305
Sucrose,G,3,0.003370367640622047
Sucrose,H,1,0.003083548776938014
Sucrose,H,2,0.005046670870576903
Sucrose,H,3,0.0025302985054173354
Sucrose,I,1,0.003795931269696567
Sucrose,I,2,0.003462469369470996
Sucrose,I,3,0.003807237207607935
Citric_acid,A,1,0.0016654592119981694
Citric_acid,A,2,0.0015090196174178776
Citric_acid,A,3,0.0007819649071868899
Citric_acid,B,1,0.0010744207360497513
Citric_acid,B,2,0.002010074580264492
Citric_acid,B,3,0.001271498920979312
Citric_acid,C,1,0.0010382778929225386
Citric_acid,C,2,0.0012847918038945336
Citric_acid,C,3,0.0006905378293813292
Citric_acid,D,1,0.0007416995933097872
Citric_acid,D,2,0.0013411251020937045
Citric_acid,D,3,0.0012709702782818333
Citric_acid,E,1,0.0014765045474533817
Citric_acid,E,2,0.0015852814473509694
Citric_acid,E,3,0.00126617351005628
Citric_acid,F,1,0.0007532319982298844
Citric_acid,F,2,0.0010547754377331997
Citric_acid,F,3,0.0008624866823061282
Citric_acid,G,1,0.000817589057953564
Citric_acid,G,2,0.0013991923197806374
Citric_acid,G,3,0.0012142483346597698
Citric_acid,H,1,0.0014405209979893034
Citric_acid,H,2,0.001016178459450364
Citric_acid,H,3,0.0011039095555678466
Citric_acid,I,1,0.001002289364593252
Citric_acid,I,2,0.0010308534362380565
Citric_acid,I,3,0.0013510735305208126
Malonic_acid,A,1,4.861226744903237e-06
Malonic_acid,A,2,6.462724958122731e-06
Malonic_acid,A,3,6.43642626405971e-06
Malonic_acid,B,1,1.3450238737014693e-05
Malonic_acid,B,2,5.723092737620001e-06
